954474,JAX,DEN,1447,297.06967
910794,EWR,FLL,1065,139.48421
851021,MDW,DAL,793,167.336
48470,SAN,DFW,1171,277.5525
1043571,DFW,SFO,1464,1526.941
225901,IAH,MCO,854,691.87
277692,ORD,ATL,606,246.177
742369,TPA,ATL,406,255.831
27154,PHX,MSP,1276,558.323
150317,LGA,TPA,1010,275.01028
321413,PHL,SFO,2521,625.0965
681729,RDU,SLC,1823,531.1309
300247,ORD,MSP,334,283.184
765677,DEN,BDL,1671,541.4285
765537,DEN,BDL,1671,279.966
531554,SJC,SEA,696,365.243
377302,MIA,STT,1107,469.0235
210040,TPA,MSP,1306,429.603
458968,SEA,OAK,672,201.125
313401,ORD,SNA,1726,804.5
169361,MKE,ATL,669,318.582
852244,MSY,DAL,436,296.8605
299923,ORD,MIA,1197,463.392
367972,MIA,LAS,2174,296.45825
302788,ORD,PDX,1739,386.9645
296058,ORD,LGA,733,120.675
120891,LAX,JFK,2475,352.371
698305,JFK,SEA,2422,728.877
86854,DEN,LGA,1620,488.23496
424600,BDL,PHL,196,444.8885
692819,ATL,SDF,321,265.35628
646614,LGA,FLL,1076,498.79
468721,LAX,PDX,834,247.786
501770,SEA,LAS,867,289.62
183976,MSP,GEG,1175,321.8
119837,HNL,LAX,2556,407.077
92949,JFK,LAX,2475,414.75193
40476,PVD,PHL,237,435.2345
407006,ORD,PHL,678,736.922
164493,ATL,MEM,332,441.6705
328520,CLE,RSW,1025,197.1025
572255,SJU,BOS,1674,864.8375
448476,JNU,SEA,909,267.094
99754,PHX,JFK,2153,265.485
637158,JFK,SEA,2422,251.8085
314093,ORD,SRQ,1050,738.531
597770,FLL,BDL,1173,540.624
640922,TPA,JFK,1005,160.0955
756621,MSP,SAN,1532,584.067
503789,SEA,LAX,954,318.582
740706,ATL,SYR,794,222.042
995463,DCA,TPA,814,237.18269
60358,SFO,ORD,1846,625.901
921761,HOU,BHM,570,508.444
833056,MCO,ORF,655,213.38558
419221,ORF,DFW,1212,609.811
865084,STL,DCA,719,195.4935
521895,SEA,SMF,605,410.295
324553,PIT,KOA,4619,1170.57968
725308,SLC,MSP,991,240.5455
297144,ORD,LGA,733,466.61
39336,CLT,PNS,488,245.03461
916723,LAS,GEG,806,264.6805
421523,PHL,PBI,951,593.721
848173,LBB,DAL,293,302.492
681710,RDU,SLC,1823,698.08074
17027,PHX,CLT,1773,769.9065
795786,BUR,SJC,296,208.3655
341184,ATL,LGA,762,403.0545
110719,LAS,JFK,2248,344.326
921681,HOU,BHM,570,227.6735
674945,PIT,ATL,526,588.894
305230,ORD,PIT,413,160.9
1013993,FAT,DFW,1313,695.088
164609,ATL,MEM,332,610.6155
49440,MIA,SAN,2267,234.914
310008,ORD,KOA,4213,1076.421
681597,SEA,RDU,2354,452.129
804948,FLL,BWI,925,249.395
131220,LAX,SLC,590,340.3035
249936,EWR,LAX,2454,474.62282
1048574,DFW,STL,550,417.5355
224544,IAH,LGA,1416,369.7482
598108,BNA,FLL,793,155.2685
36019,PHX,TPA,1788,189.862
515017,SEA,PSP,987,108.81667
721529,SLC,LAS,368,141.592
48040,SAN,DFW,1171,593.721
280532,ORD,BWI,622,459.3695
691660,SAT,MSP,1097,365.243
708849,MSP,SFO,1589,235.7185
940422,IAD,FLL,901,95.54242
314403,ORD,SRQ,1050,796.455
1012369,EGE,DFW,721,447.302
30377,PHX,PDX,1009,289.62
770804,BOS,LAX,2611,228.478
116396,LAX,CMH,1995,545.99806
725399,MSP,SLC,991,357.198
56865,DFW,LAX,1235,810.59811
405572,ORD,MSP,334,383.7465
